Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Firefox 59.0,,2018-07-17 09:16:56,2018-07-17 09:17:04,"7,611s",ERROR
,,,,,,
Test Cases/Offices,Firefox 59.0,,2018-07-17 09:16:57,2018-07-17 09:17:04,"7,153s",ERROR
openBrowser,Firefox 59.0,,2018-07-17 09:16:57,2018-07-17 09:17:00,"3,443s",PASSED
maximizeWindow,Firefox 59.0,,2018-07-17 09:17:00,2018-07-17 09:17:00,"0,030s",PASSED
navigateToUrl,Firefox 59.0,,2018-07-17 09:17:00,2018-07-17 09:17:01,"0,890s",PASSED
setText,Firefox 59.0,,2018-07-17 09:17:01,2018-07-17 09:17:01,"0,124s",PASSED
setEncryptedText,Firefox 59.0,,2018-07-17 09:17:01,2018-07-17 09:17:02,"0,198s",PASSED
click,Firefox 59.0,,2018-07-17 09:17:02,2018-07-17 09:17:03,"1,051s",PASSED
click,Firefox 59.0,,2018-07-17 09:17:03,2018-07-17 09:17:03,"0,779s",PASSED
click,Firefox 59.0,,2018-07-17 09:17:03,2018-07-17 09:17:04,"0,287s",PASSED
takeScreenshot,Firefox 59.0,,2018-07-17 09:17:04,2018-07-17 09:17:04,"0,102s",PASSED
com.katalon.WebUICustomKeyword.uploadFile,Firefox 59.0,,2018-07-17 09:17:04,2018-07-17 09:17:04,"0,008s",ERROR
